01_prenom;02_genre;03_langage;04_fréquence;05_signification
jemmy;m;english;0;Diminutif médiéval de JAMES.
jen;f;english;0.03;
jena;f;english (modern);0;
jenae;f;english (modern);0;
jenaro;m;spanish;0;Forme espagnole de Janvier.
jenci;m;hungarian;0;Diminutif de JEN.
jenelle;f;english;0;
jenessa;f;english;0;
jeni;f;english;0;
jenifer;f;english;0;Claire, douce (celte).
jenn;f;english;0;
jenna;f;english;0;Dieu fait grâce (hébreu).
jenni;f;english;0;
jennie;f;english;0;"Prénom dérivé de Geneviève. Vient du germain ""geno et wefa"" Signifie : ""race et femme"" Se fête le 3 janvier."
jennifer;f;english;0;Claire, douce (celte).
jenny;f;english;8.54;Claire, douce (celte).
jens;m;danish;0;Dieu fait grâce (hébreu).
jep;m;english;0;Diminutif médiéval de GEOFFREY.
jephtha;m;biblical (variant);0;Variante de Jephté.
jephthah;m;biblical;0;"signifie ""il s'ouvre"" en l'Hébreu."
jepson;m;english;0;"D'un nom de famille anglais qui a signifié ""le fils de JEP""."
jeptha;m;;0;Variante de Jephté.
jera;f;english;0;
jerald;m;english;0;Variante du GERALD.
jere;m;english;0;Diminutif de JEREMIAH.
jeremiah;m;english, jewish, biblical;0.29;"Du nom hébreu (Yirmiyahu) qui a signifié ""YAHWEH s'est élevé""."
jeremias;m;german;0;Dieu élève (hébreu).
jeremiel;m;biblical;0;"signifie ""Dieu s'élèvent"" en l'Hébreu."
jeremy;m;english, biblical (variant);0.10;Dieu élève (hébreu).
jeri;f;english;0;
jericho;m;biblical, english;0;Du nom d'une ville en Israël qui est mentionnée plusieurs fois en l'Ancien Testament.
jerk;m;swedish;0.25;Vieux variante suédoise de ERIK.
jerker;m;swedish;0;Vieux variante suédoise de ERIK.
jermaine;m;english;0;Variante du GERMAIN.
jernej;m;slovene;0;Forme slovène de Barthélemy.
jeroen;m;dutch;0;Forme hollandaise de JEROME.
jerold;m;english;0;Variante du GERALD.
jerome;m;english;0.19;Forme française de JEROME.
jerrard;m;english;0.03;Variante du GERARD.
jerri;f;english;0;
jerrie;f;english;0;
jerrod;m;english;0;Variante de Jared.
jerrold;m;english;0;Variante du GERALD.
jerry;m,f;english;0.80;Nom sacré (grec).
jerusha;f;biblical;0;
jervis;m;english;0.19;D'un nom de famille qui était une variante de JARVIS.
jerzy;m;polish;0;Labourer le sol (grec).
jesper;m;danish;0;Forme danoise de JASPER.
jess;m,f;english;0;Un présent (hébreu).
jessalyn;f;english (modern);0;
jessamine;f;english;0;
jessamyn;f;english;0;
jesse;m;english, biblical;0;Un présent (hébreu).
jessenia;f;arabic;0;
jessi;f;english;0;
jessica;f;english;8.79;Un présent (hébreu).
jessie;f,m;scottish, english;0;Un présent (hébreu).
jessika;f;english (modern);0;
jessye;f;english (modern);0;Un présent (hébreu).
jesus;m;theology, biblical;0.51;Dieu sauve (hébreu).
jesusa;f;spanish, portuguese;0;
jethro;m;biblical, english;0.03;"Du nom hébreu (Yitro), qui a été tiré du mot hébreu (yeter) la signification ""de l'abondance""."
jetta;f;english;0.03;
jeunesse;f;;63.94;
jewel;f;english;0;
jewell;f;english (modern);0;
jezebel;f;biblical;0.03;
jia;f;chinese;0;Chine : Belle.
jiang;m,f;chinese;0.06;
jill;f;english;0.10;Diminutif des prénoms assemblés avec Jill.
jillian;f;english;0;"Prénom dérivé de Gilles. Vient du grec ""aegidios"", signifie : ""égide, bouclier"" (Se mettre sous l'égide de) Se fête le 1er septembre."
jillie;f;english;0;
jilly;f;english;0;
jim;m;english;1.85;Supplanter, protéger (hébreu).
jimena;f;spanish;0;
jimi;m;english;0.19;Diminutif de JAMES.
jimmie;m,f;english;0;
jimmy;m;english;0.80;Supplanter, protéger (hébreu).
jin;m,f;chinese;0.03;Chine : Or, métal, argent
jinan;m,f;arabic;0;
jindrich;m;czech;0;
jing;m,f;chinese;0.06;Chine : Cristal, miroitant
jin-ho;m;korean;0;
jinny;f;english;0;
jirair;m;armenian;0;Variante du transcription Zhirayr.
jiro;m;japanese;0;Japon : second né masculin.
jitender;m;indian;0;Variante du Jitendra.
jitendra;m;indian;0;"signifie ""conquérant d'Indra"" de Sanscrit (jita) ""conquis"" combiné avec le nom de Dieu INDRA."
jitinder;m;indian;0;Variante du Jitendra.
jo;m,f;english;18.25;Diminutif des prénoms assemblés avec Jo.
joab;m;biblical;0;"signifie ""YAHWEH sont le père"" en l'Hébreu."
joachim;m;english, french, german, polish, biblical;0.67;Dieu a établi (hébreu).
joakim;m;scandinavian;0;Dieu a établi (hébreu).
joan;m,f;english,catalan;0;Dieu fait grâce (hébreu).
joana;f;portuguese;0;Dieu fait grâce (hébreu).
joandra;f;english (modern);0;
joann;f;english;0;"Prénom dérivé de Jean. Vient de l'hébreu ""yo et hânan"" Signifie : ""Dieu est miséricordieux"" Se fête le 27 décembre."
joanna;f;english, polish, biblical;0;Dieu fait grâce (hébreu).
joanne;f;english;0.06;Dieu fait grâce (hébreu).
joannes;m;;0.03;Variante latine de JOHANNES.
joaquim;m;portuguese, catalan;0.13;Dieu a établi (hébreu).
joaquima;f;catalan;0;
joaquin;m;spanish;0.03;Forme espagnole de JOACHIM.
joash;m;biblical;0;
job;m;biblical;2.74;Dieu a établi (hébreu).
jobeth;f;english;0;
joby;m;english;0;Diminutif de TRAVAIL.
jocasta;f;greek mythology (latinized);0;
jocelin;f;english;0;Doux prince (germanique). Remarque : l'étymologie de ce prénom est controversée.
joceline;f;french;0;Étymologie possible : douce princesse (germanique).
jocelyn;f,m;english;0.16;Étymologie possible : doux prince (germanique).
jochem;m;german, dutch;0;Forme allemande et hollandaise de JOACHIM.
jochen;m;german;0;Forme allemande de JOACHIM.
jochim;m;german;0;Forme allemande de JOACHIM.
jochjo;m;esperanto;0;
jock;m;scottish;0;Forme écossaise de JACK.
jockie;m;scottish;0;Écossaise diminutif de JACK.
jocky;m;scottish;0;Écossaise diminutif de JACK.
jocosa;f;english;0;
jodene;f;english;0;
jodi;f;english;0;
jodie;f;english;0;"Prénom dérivé de Joël. Vient de l'hébreu ""yo-el"", signifie : ""Seigneur Dieu"" Se fête le 13 juillet."
jody;f,m;english;0;"Prénom dérivé de Joël. Vient de l'hébreu ""yo-el"", signifie : ""Seigneur Dieu"" Se fête le 13 juillet."
joe;m;english;1.50;Diminutif des prénoms assemblés avec Jo. Dieu est Dieu (hébreu).
joel;m;english, jewish, biblical;0;Dieu est Dieu (hébreu).
joelle;f;french;0;Dieu est Dieu (hébreu).
joep;m;dutch;0;Diminutif hollandais de JOZEF.
joetta;f;english;0;
joey;m;english;0.06;Dieu est Dieu (hébreu).
johan;m;scandinavian, german, czech;0.13;Dieu fait grâce (hébreu).
johana;f;czech;0;Dieu fait grâce (hébreu).
johann;m;german;0.80;Dieu fait grâce (hébreu).
johanna;f;german, scandinavian, dutch, hungarian;27.59;Dieu fait grâce (hébreu).
johanne;f;danish, norwegian;0;Dieu fait grâce (hébreu).
johanneke;f;dutch;0;
johannes;m;german, dutch, scandinavian, late roman;0.41;Forme islandaise de JOHN.
johano;m;esperanto;0;Forme d'espéranto de JOHN.
johar;m;indian;0;perle fine.
john;m;english, biblical;10.99;Dieu fait grâce (hébreu).
johnathan;m;english;0;Variante du JONATHAN.
johnathon;m;english;0;Variante du JONATHAN.
johnie;m;english;0;
johnnie;m,f;english;0.06;
johnny;m;english;3.79;Dieu fait grâce (hébreu).
joi;f;english;0.03;
joisse;f;;0.06;
jokum;m;danish;0;Forme danoise de JOACHIM.
jolana;f;czech;0;
jolanda;f;italian;0;
jolanta;f;polish;0;
joleen;f;english;0;
jolene;f;english;0;
jolie;f;french;28.77;
jolyon;m;english;0;Forme médiévale de JULIENS.
jon;m;english;0;Dieu fait grâce (hébreu).
jonah;m;english, biblical;0;"Du nom hébreu (Yonah) signification ""de pigeon""."
jonas;m;lithuanian;0;Colombe (hébreu).
jonatan;m;swedish;0;Forme islandaise de JONATHAN.
jonathan;m;english, biblical;0.57;Dieu a donné (hébreu).
jonathon;m;english;0;Variante du JONATHAN.
jonelle;f;english;0;
jonette;f;norwegian, english;0;
joni;m,f;english, finnish;0;
jonie;f;english;0;
jonna;f;danish, swedish;0;
jonny;m;english (modern);0;Diminutif de JONATHAN.
jonquil;f;english;0;
jonty;m;english;0;Diminutif de JONATHAN.
jools;m,f;english;0;
joona;m;finnish;0;Forme finlandaise de JONAH.
joonas;m;finnish;0;Forme finlandaise de JONAS.
joop;m;dutch;0.03;Diminutif hollandais de JOHANNES ou JOZEF.
joord;m;dutch;0;Diminutif hollandais de la JORDANIE.
joos;m;dutch;0.06;Forme courte hollandaise de JUSTUS, JODOCUS ou JOZEF.
jooseppi;m;finnish;0;Forme finlandaise de JOSEPH.
joost;m;dutch;0;Diminutif hollandais de JUSTUS, JODOCUS ou JOZEF.
jorck;m;danish;0;
jordaan;m;dutch;0;Forme hollandaise de la JORDANIE.
jordan;m,f;english, german, biblical;1.75;Descendre (hébreu).
jordana;f;english;0;
jordi;m;catalan;0;Labourer le sol (grec).
jordon;m;english;0;Variante de la Jordanie.
jordyn;f;english (modern);0;
jorge;m;spanish, portuguese;0.29;Labourer le sol (grec).
jorie;f;english;0;
joris;m;dutch, frisian;0.06;Forme hollandaise et Frisonne de GEORGE.
jorma;m;finnish;0;Forme finlandaise de JEREMIAH.
jory;m;cornish;0;Forme de Cornouailles de GEORGE.
jos;m;dutch;0.06;Dieu ajoutera (hébreu). Prénom breton.
joscelin;f;english;0;Forme germanique de JOCELYN.
josceline;f;english;0;
josef;m;german, scandinavian, czech;0.19;Allemand, forme scandinave et tchèque de JOSEPH.
josefa;f;spanish, portuguese, czech;0;Dieu ajoutera (hébreu).
josefina;f;spanish;0;Dieu ajoutera (hébreu).
joselyn;f;english;0;
josep;m;catalan;0.03;Forme catalane de JOSEPH.
joseph;m;english, french, biblical;63.05;Dieu ajoutera (hébreu).
josepha;f;english, german;0.16;Dieu ajoutera (hébreu).
josephine;f;english;0;Dieu ajoutera (hébreu).
josette;f;french;14.72;Dieu ajoutera (hébreu).
josh;m;english;0;Forme abrégée de Josué.
joshawa;m;english (modern);0;
joshua;m;english, biblical;0.10;Dieu aidera (hébreu).
josiah;m;biblical, english;0.16;"signifie ""YAHWEH supportent(soutiennent)"" en l'Hébreu."
josiane;f;french;0.22;Dieu ajoutera (hébreu).
josias;m;biblical (variant);0.06;Forme Latinisée de JOSIAH utilisé en quelques versions anglaises de l'Ancien Testament.
josie;f;english;0.38;"Prénom dérivé de Joseph. Vient de l'hébreu ""yôsep"" Signifie : ""Dieu ajoute"" Se fête le 19 mars. "
josif;m;serbian;0;Forme serbe et macédonienne de JOSEPH.
josip;m;croatian, slovene;0;Forme croate et slovène de JOSEPH.
joss;f;english;0;Doux prince (germanique). Remarque : l'étymologie de ce prénom est controversée.
josslyn;f;english;0;
jotham;m;biblical;0;"signifie ""YAHWEH sont droits"" en l'Hébreu."
jouko;m;finnish;0;Version courte de Joukahainen.
jouni;m;finnish;0;Forme finlandaise de JOHN.
jourdain;m;french;3.12;Forme française de la JORDANIE.
jovan;m;serbian, macedonian;0;Jupiter, jeune (latin).
jovana;f;serbian;0;"Variante de Jeanne. Vient de l'hébreu ""yo et hânan"" Signifie : ""Dieu est miséricordieux"" Se fête le 8 ou le 30 mai."
jovanka;f;serbian;0;
jove;m;roman mythology;0;Du latin Iovis, tiré de la tige d'Iuppiter (voir le JUPITER).
jovita;f;spanish, portuguese;0;
jowan;m;cornish;0;Forme de Cornouailles de JOHN.
jowita;f;polish;0;
joy;f;english;0.41;Allégresse (latin).
joyce;f,m;english;9.94;Allégresse (latin).
joye;f;english;0;"Diminutif de Josse. Vient du germain ""gauz"", nom d'une divinité. Se fête le 13 décembre."
jozafat;m;polish;0;Forme polonaise de Josaphat.
joze;m;slovene;0;Diminutif slovène de JOSEPH.
jozef;m;slovak, slovene, polish, dutch;0;Forme polonaise de JOSEPH.
jozefa;f;hungarian, polish;0;
jozefo;m;esperanto;0;Forme d'espéranto de JOSEPH.
jozo;m;croatian;0;Diminutif croate de JOSEPH.
jozua;m;dutch;0;Forme hollandaise de JOSHUA.
ju;f;chinese;1.08;Chine : Chrysanthème.
juan;m;spanish;8.54;Dieu fait grâce (hébreu).
juana;f;spanish;1.12;Dieu fait grâce (hébreu).
juanita;f;spanish;1.24;Dieu fait grâce (hébreu).
juanito;m;spanish;0.06;Diminutif de JUAN.
jubal;m;biblical;0;"signifie ""coulent"" en l'Hébreu."
juda;m;arabic;0.45;"signifie ""la bonté(les qualités nutritives), l'excellence"", tiré de l'arabe (jada) ""pour être excellent""."
judah;m;biblical, english;0;"Du nom hébreu (Yehudah) qui a signifié ""loué""."
judas;m;biblical;2.36;Loué (hébreu).
judd;m;english;0;Diminutif médiéval de la JORDANIE.
jude;m;english, biblical;0.92;Loué, félicité (hébreu).
judi;f;english;0;
judie;f;english;0;"Prénom dérivé de Judith. Vient de l'hébreu ""yohudit"" Signifie : ""juif"" Se fête le 5 mai."
judit;f;hungarian;0;
judita;f;czech;0;
judite;f;portuguese;0;
judith;f;english, jewish, french, biblical;2.68;Louée, félicitée (hébreu).
judy;f;english;0.03;Louée, félicitée (hébreu).
judyta;f;polish;0;
juha;m;finnish;0;Forme finlandaise de JOHN.
juhana;m;finnish;0;Forme finlandaise de JOHN.
juhani;m;finnish;0;Forme finlandaise de JOHN.
juho;m;finnish;0;Forme finlandaise de JOHN.
jukka;m;finnish;0;Forme finlandaise de JOHN.
jules;m;french, english;0;De la famille romaine de Iule (latin).
juli;f;hungarian;0;
julia;f;english, german, spanish, portuguese, ancient roman, biblical;4.59;De la famille romaine de Iule (latin).
julian;m;english;0.19;De la famille romaine de Iule (latin).
juliana;f;dutch, german, english, spanish, portuguese, ancient roman;0.10;De la famille romaine de Iule (latin).
juliane;f;french, german;0;De la famille romaine de Iule (latin).
julianna;f;english, hungarian;0;
julianne;f;english;0;De la famille romaine de Iule (latin).
julie;f;french, english;16.53;De la famille romaine de Iule (latin).
julien;m;french;134.02;De la famille romaine de Iule (latin).
julienne;f;french;2.96;De la famille romaine de Iule (latin).
juliet;f;english;0;De la famille romaine de Iule (latin).
juliette;f;french;16.25;De la famille romaine de Iule (latin).
julija;f;slovene;0;
julio;m;spanish, portuguese;0.99;De la famille romaine de Iule (latin).
juliska;f;hungarian;0;
julitta;f;;0;
julius;m;ancient roman, english;2.64;De la famille romaine de Iule (latin).
juliusz;m;polish;0;Forme polonaise de Julius.
july;f;english;0.13;
julyan;m;english;0;Variante médiévale de JULIENS.
jumaane;m;african;0;"signifie ""né mardi"" en swahili."
jumana;f;arabic;0;
jumanah;f;arabic;0;
june;f;english;0.03;Mois de juin (latin).
jung;m,f;korean;3.92;
junior;m;english;0.80;Jeunesse (latin).
juniper;f;english;0;
junko;f;japanese;0;Japon : enfant de l'obéissance.
juno;f;roman mythology;0.03;
juozas;m;lithuanian;0;Forme courte lithuanienne de JOSEPH.
jupiter;m;roman mythology;4.56;"Du latin Iuppiter, qui a été en fin de compte tiré de l'indo-européen *Dyeu-pater, composé des éléments Dyeus (voir Zeus) et le pater(paternel) ""le père""."
juraj;m;slovene, croatian;0;Forme croate et Slovaque de GEORGE.
jure;m;slovene, croatian;17.81;Forme slovène et croate de GEORGE.
jurgis;m;lithuanian;0.13;Forme lithuanienne de GEORGE.
jurij;m;slovene;0;Forme slovène de GEORGE.
juro;m;japanese;0.03;Forme croate de GEORGE.
jussi;m;finnish;0;Forme finlandaise de JOHN.
juste;m;french;167.03;Raisonnable (latin).
justice;m,f;english;53.65;
justin;m;english, french;0.89;Raisonnable (latin).
justina;f;english, ancient roman;0;Raisonnable (latin).
justine;f;french, english;0.76;Raisonnable (latin).
justus;m;ancient roman;0.16;"Le nom latin qui a signifié ""juste"". Au moins huit saints ont porté ce nom."
justy;m,f;english;0;
justyn;m;english;0;Forme polonaise de Iustinus (voir JUSTIN).
justyna;f;polish;0;
jutta;f;german;0;
jutte;f;german;0;
juturna;f;roman mythology;0;
juuso;m;finnish;0;Forme courte finlandaise de JOSEPH.
juvela;f;esperanto;0;
juvenal;m;history;0.16;Juvénile (latin).
juventas;f;roman mythology;0;
jyoti;f;indian;0;
jyotsana;f;indian;0;
jyotsna;f;indian;0;
jytte;f;danish;0;
kaapo;m;finnish;0;Forme finlandaise de GABRIEL.
kaapro;m;finnish;0;Forme finlandaise de GABRIEL.
kaarina;f;finnish;0;
kaarle;m;finnish;0;Forme finlandaise de CHARLES.
kaarlo;m;finnish;0;Forme finlandaise de CHARLES.
kacper;m;polish;0;Forme polonaise de JASPER.
kade;m;english;0;Variante du CADE.
kaden;m;english;0;Variante du CADEN.
kader;m;arabic;2.20;puissant.
kae;f;english;0;
kaelea;f;english (modern);0;
kaelee;f;english (modern);0;
kaety;f;english;0;
kagiso;f;african;0;
kai;m,f;hawaiian, scandinavian, finnish, german;0;En signifiant incertain, probablement un diminutif Frison de GERHARD, NICOLAAS, CORNELIS ou GAIUS.
kaia;f;norwegian;0;
kaija;f;finnish;0;
kaila;f;;0.03;Couronne (hébreu).
kailash;m,f;indian;0;Du nom d'une montagne en l'Himalaya que l'on croit être le paradis de Dieu hindou Shiva.
kailee;f;english (modern);0;
kailey;f;english;0;
kailyn;f;english (modern);0;
kaimana;m;hawaiian;0;
kaisa;f;finnish;0;
kaiser;m;german;0.99;La forme allemande du titre romain César (voir CÉSAR).
kaitlin;f;english;0;
kaitlyn;f;english;0;
kaitlynn;f;english;0;
kaj;m;danish;0;Variante de KAI.
kajetan;m;polish;0;Le tchèque, la forme Slovaque et hongroise de Caietanus (voir GAETANO).
kajsa;f;swedish;0;
kakalina;f;hawaiian;0;
kala;f;hawaiian;0.29;
kalani;m,f;hawaiian;0;
kalea;f;hawaiian;0;
kaleb;m;english;0;Anglais
kaleigh;f;english (modern);0;
kaleo;m;hawaiian;0;"signifie ""son, voix"" de ka Hawaïen """" l'et Leo ""son, voix""."
kaley;f;english;0;
kali;f;hindu mythology;1.08;"Epouse de Shiva, forme terrible de ""Dévi"" ou grande Déesse, force vitale universelle."
kalidas;m;indian;0;Transcription moderne de KALIDASA.
kalla;f;english;0.10;
kalle;m;swedish, finnish;0;Suédois et finlandais diminutif de KARL.
kallias;m;ancient greek;0;"Tiré de grec (kallos) signification ""de beauté""."
kallikrates;m;ancient greek;0;"signifie ""beau pouvoir(puissance)"", tiré des éléments grecs (kallos) ""beauté"" et (kratos) ""pouvoir""(""puissance"")."
kalliope;f;greek mythology;0;
kallisto;f;greek mythology, ancient greek;0;
kallistrate;f;ancient greek;0;
kalpana;f;indian;0;
kalyan;m;indian;0;Transcription moderne de KALYANA.
kalyani;f;indian;0;"belle ou ""mariée""."
kalyn;f;english (modern);0;
kalypso;f;greek mythology;0;
kalysta;f;english (modern);0;
kam;m;english;1.62;Version courte de Kameron.
kama;m;hindu mythology;0.19;
kamal;m;arabic, indian;0;lotus.
kamala;f;indian;0;
kamaria;f;african;0;"Prénom d'origine arabe. Signifie: ""de teint clair, beau visage"""
kameron;m;english (modern);0;Variante de CAMERON.
kamil;m;arabic, czech, slovak, polish;0;Parfait, achevé (arabe).
kamila;f;czech, slovak, polish;0;perfection (Camélia).
kamilla;f;hungarian;0;
kamryn;f;english;0;
kandajha;f;esperanto;0;
kane;m;irish;0.13;Japon : accomplissements multiples (fille)
kaneonuskatew;m;native american;0;"signifie ""celui qui marche sur quatre griffes"" en Cree."
kanta;f;indian;0;
kanti;f;indian;0;
kanya;f;thai;0;
kaolin;m;;1.21;Variante du Caolán.
kapel;m;jewish;0;Diminutif de JACOB yiddish.
kapil;m;indian;0;Transcription moderne de KAPILA.
kapila;m;indian;0;"signifie ""brun rougeâtre"" en Sanscrit, tiré ""de singe"" (kapi)."
kara;f;english;0.57;
karam;m,f;arabic;0;
karan;m;indian, hindu mythology;0;Ami (breton).
karaugh;f;english (modern);0;
karcsi;m;hungarian;0;Diminutif de KáROLY.
kareem;m;arabic;0;La transcription Variante du KARIM.
karel;m;dutch, czech, slovene;0.06;Pur (grec).
karen;f;danish, norwegian, english;0.19;Pure (grec).
karena;f;;0;
karenza;f;english;0;
karesinda;f;esperanto;0;
kari;f;norwegian, finnish;0;Forme de vieux norrois de K Å RE.
karim;m;arabic;0.06;Bien né, généreux (arabe).
karima;f;arabic;0;Bien née, généreuse (arabe).
karin;f;swedish, finnish;0.03;Pure (grec).
karina;f;;0;Pure (grec).
karissa;f;english;0;
karita;f;norwegian;0;
karl;m;german, scandinavian;7.07;Fort et viril (germanique).
karla;f;german, scandinavian;0.03;Fort et viril (germanique).
karlene;f;english;0;"Dérivé de Charles et Charlotte. Vient du germain ""karl"", signifie : ""fort, vigoureux"" Se fête le 17 juillet."
karly;f;english;0;
karol;m;polish;0.03;Fort et viril (germanique).
karola;f;hungarian;0;
karoliina;f;finnish;0;
karolina;f;polish, scandinavian, hungarian;0;"Forme polonaise de Charles et Charlotte. Vient du germain ""karl"", signifie : ""fort, vigoureux"" Se fête le 17 juillet."
karoline;f;german, danish, norwegian;0;
karolis;m;lithuanian;0;Forme lithuanienne de CAROLUS.
karolyn;f;english;0;
karp;m;russian;0.03;Forme russe de Karpos (voir carpe).
karrie;f;english;0;
karsten;m;german;0.06;Forme allemande basse de CHRÉTIEN.
karyn;f;english;0.92;
karyna;f;;0;
kasandra;f;english;0;
kasey;m,f;english;0;
kasi;m;indian;0;
kasia;f;polish;0;
kasimir;m;;0;Forme allemande de CASIMIR.
kasimira;f;;0;
kaspar;m;german;0.06;Gardien du trésor (perse).
kasper;m;polish, dutch, scandinavian;0.03;Gardien du trésor (perse).
kassandra;f;english, greek mythology;0;Qui aide les hommes (grec).
kassia;f;english;0;
kassidy;f,m;english;0;
kassy;f;english;0;
kat;f;english;0.06;
kata;f;hungarian;0.13;
katalin;f;hungarian;0;"Prénom dérivé de Catherine. Vient du grec ""kataros"" Signifie : ""pur"" Se fête le 25 novembre ou le 29 avril."
katana;f;japanese;0;
katariina;f;finnish;0;
katarin;f;breton;0;
katarina;f;german, swedish, hungarian, croatian, serbian, slovene;0;Pure (grec).
katarine;f;german;0;
katarzyna;f;polish;0;
katashi;m;japanese;0;"signifie ""société, durement"" en japonais."
kate;f;english;0.16;Pure (grec).
katee;f;english;0;
katelin;f;english;0;
katelyn;f;english;0;"Prénom dérivé de Catherine. Vient du grec ""kataros"", signifie : ""pur"" Se fête le 25 novembre ou le 29 avril."
katelynn;f;english (modern);0;
katerina;f;czech;0;Pure (grec).
katey;f;english;0;
katharina;f;german;0;"Prénom dérivé de Catherine. Vient du grec ""kataros"", signifie : ""pur"" Se fête le 25 novembre ou le 29 avril."
katharine;f;german, english;0.13;"Prénom dérivé de Catherine. Vient du grec ""kataros"", signifie : ""pur"" Se fête le 25 novembre ou le 29 avril."
katherina;f;english;0;
katherine;f;english;0.13;Pure (grec).
kathi;f;english;0;
kathie;f;english;0;
kathleen;f;irish, english;0.03;Pure (grec).
kathlyn;f;english;0;
kathrin;f;german;0;
kathryn;f;english;0;Pure (grec).
kathy;f;english;0;Pure (grec).
katica;f;slovene;0;
katida;f;esperanto;0;
katie;f;english;0;"Vient du grec ""kataros"" Signifie : ""pur"" Se fête le 25 novembre ou le 29 avril."
katina;f;;0;
katinka;f;russian;0;
katja;f;german, slovene;0;"Forme slave de Katia. Prénom dérivé de Catherine. Vient du grec ""kataros"", signifie : ""pur"" Se fête le 25 novembre ou le 29 avril."
katlego;m,f;african;0;
katlyn;f;english;0;
kato;m;african;0;"signifie ""seconde de jumeaux"" en Luganda."
katri;f;finnish;0;
katrien;f;dutch;0;
katrijn;f;dutch;0;
katrina;f;english;0;"Variante de Catherine. Vient du grec ""kataros"", signifie : ""pur"" Se fête le 25 novembre ou le 29 avril."
katrine;f;german, danish, dutch, polish;0;
katriona;f;english;0;
katsu;m;japanese;0;Japon : victorieux.
katsuo;m;japanese;0;"De japonais (katsu) ""victoire"" et (o) ""héros, viril""."
katsuro;m;japanese;0;Variante du transcription KATSUROU.
katy;f;english;0;Pure (grec).
katya;f;russian;0;
kausalya;f;indian;0;
kaveri;f;indian;0;
kawacatoose;m;native american;0;"signifie ""pauvre(faible) homme"" ou ""homme maigre"" en Cree."
kay;m,f;welsh mythology, english;0;Pure (grec).
kaycee;f;english (modern);0;
kaye;f;english;0.03;
kayetan;m;german;0;La forme allemande de Caietanus (voir GAETANO).
kayla;f;english;0;Couronne (hébreu).
kayleah;f;english (modern);0;
kaylee;f;english;0;
kayleen;f;english;0;
kayleigh;f;english (modern);0;
kayley;f;english, irish;0;
kaylie;f;english;0;
kaylin;f;english (modern);0;
kayly;f;english (modern);0;
kaylyn;f;english;0;
kaylynn;f;english (modern);0;
kayode;m;african;0;"signifie ""il a apporté la joie"" en Yoruba."
kazia;f;polish;0;
kazimeras;m;lithuanian;0;Forme lithuanienne de CASIMIR.
kazimiera;f;polish;0;
kazimierz;m;polish;0;Forme polonaise de CASIMIR.
kazimir;m;russian;0;Tchèque, forme Slovaque et hongroise de CASIMIR.
kazuki;m;japanese;0;"Du japonais (kazu) ""un"" ou ""l'harmonie"" (kazu) combinée avec (ki) ""la radiance(l'éclat), brillez"" ou (ki) ""l'espoir""."
kazuko;f;japanese;0;Japon : enfant de l'obeissance.
kazuo;m;japanese;0;Japon : fils premier né.
kean;m;irish;0;Forme Anglicisée de CIAN.
keane;m;irish;0.13;Variante du KEAN.
keanu;m;hawaiian;0;"Peut-être signifie ""brise fraîche"" en hawaïen."
keara;f;;0;
keaton;m;english;0.29;"D'un nom de famille qui a été tiré d'un nom d'endroit(de place) signifiant ""la ville d'abri"" en Vieil anglais."
keefe;m;irish, english;0.03;"D'un nom de famille irlandais, une forme Anglicisée de Ó Caoimh signification ""descendent de CAOMH""."
keegan;m;english, irish;0;"D'un nom de famille irlandais, la forme Anglicisée du Mac Gaélique Aodhagáin, qui signifie ""descendent d'Aodhagán""."
keelan;f,m;irish;0;
keeleigh;f;english (modern);0;
keeley;f;english, irish;0;
keelin;f;irish;0;
keely;f;english (modern);0;
keenan;m;irish;0;Forme Anglicisée de CIAN…N.
kees;m;dutch;0;Diminutif hollandais de CORNELIUS.
kegan;m;english, irish;0;Variante du KEEGAN.
keighley;f;english (modern);0;
keiko;f;japanese;0;L'enfant qui respecte (japonais).
keir;m;scottish, english;0.03;D'un nom de famille qui était une variante de KERR.
keira;f;english;0;Brune (irlandais).
keisha;f;english;0.03;
keith;m;english, scottish;1.24;Le vent (celte).
keitha;f;english, scottish;0;
keithia;f;;0;
kekepania;f;hawaiian;0;
kekoa;m;hawaiian;0;"signifie ""le courageux"" en Hawaïen."
kelan;m;;0;Forme Anglicisée de CAOL…N.
kelcey;m,f;english (modern);0;
keld;m;danish;0;Forme danoise de KETTIL.
kelda;f;;0;
kelebek;f;turkish;0;
kelemen;m;hungarian;0;Forme hongroise de CLÉMENTS.
kelia;f;;0;Contestation ou église (irlandais).
kelleigh;f;english;0;
kelley;f;english;0.13;
kelli;f;english;0;
kellie;f;english;0;
kelly;m,f;irish, english;0.41;Contestation ou église (irlandais).
kelsey;m,f;english;0;
kelsi;f;english (modern);0;
kelsie;f;english;0;
kelvin;m;english;0.67;"Du nom d'une rivière(un fleuve) écossaise, signifiant peut-être ""eau étroite""."
kemp;m;english;0.13;"D'un nom de famille tiré de Moyen anglais kempe signification ""champion, athlète, guerrier""."
ken;m;english,japanese;0;Identique (japonais). Diminutif des prénoms assemblés avec Ken.
kenan;m;biblical;0;Beau (celte).
kenaniah;m;biblical;0;"signifie ""YAHWEH établissent"" en l'Hébreu."
kendal;m;english, welsh;0;
kendall;m,f;english, welsh;0.41;Rivière de la vallée (celte).
kendra;f;english;0;Kendra est un prénom d’origine galloise.
kendrick;m;english;0;D'un nom de famille qui a plusieurs origines différentes.
